ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-08-03 00:00:00,421258,4,580,W,ML,1.055,20,100,26.0,0.0093,67.4,10,10.0,0.004,71.2,1,10.0,16.0,0.0145,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:00:00,421260,4,580,W,ML,1.129,20,100,30.0,0.0108,67.3,10,11.0,0.0061,71.2,1,10.0,19.0,0.0154,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:05:00,421258,4,580,W,ML,1.055,20,100,22.0,0.0069,67.5,10,5.0,0.0023,71.1,1,10.0,17.0,0.0116,66.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:05:00,421260,4,580,W,ML,1.129,20,100,25.0,0.008,66.9,10,7.0,0.0037,71.2,1,10.0,18.0,0.0123,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:10:00,421258,4,580,W,ML,1.055,20,100,28.0,0.0083,68.9,10,14.0,0.0055,71.3,1,10.0,14.0,0.011,66.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:10:00,421260,4,580,W,ML,1.129,20,100,19.0,0.0054,68.1,10,9.0,0.0046,71.3,1,10.0,10.0,0.0063,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:15:00,421258,4,580,W,ML,1.055,20,100,25.0,0.0093,67.8,10,7.0,0.0028,71.3,1,10.0,18.0,0.0158,66.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:15:00,421260,4,580,W,ML,1.129,20,100,35.0,0.012,67.1,10,13.0,0.0072,71.2,1,10.0,22.0,0.0168,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:20:00,421258,4,580,W,ML,1.055,20,100,24.0,0.0074,68.3,10,7.0,0.0027,71.3,1,10.0,17.0,0.012,67.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:20:00,421260,4,580,W,ML,1.129,20,100,18.0,0.0053,67.5,10,7.0,0.0035,71.3,1,10.0,11.0,0.007,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:25:00,421258,4,580,W,ML,1.055,20,100,24.0,0.0077,68.7,10,10.0,0.0041,71.3,1,10.0,14.0,0.0112,66.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:25:00,421260,4,580,W,ML,1.129,20,100,28.0,0.0122,68.8,10,21.0,0.013,70.7,1,10.0,7.0,0.0114,63.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:30:00,421258,4,580,W,ML,1.055,20,100,21.0,0.0075,68.3,10,9.0,0.0035,71.3,1,10.0,12.0,0.0115,66.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:30:00,421260,4,580,W,ML,1.129,20,100,26.0,0.0083,66.6,10,9.0,0.0047,71.0,1,10.0,17.0,0.0118,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
