ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 00:00:00,421237,4,580,E,ML,1.513,30,67,51.0,0.0152,64.4,10,5.0,0.0036,71.9,1,10.0,12.0,0.0093,69.7,1,10.0,34.0,0.0326,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:00:00,421238,4,580,E,ML,3.005,30,67,45.0,0.0125,64.0,10,4.0,0.002,71.9,1,10.0,9.0,0.0052,69.7,1,10.0,32.0,0.0304,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:05:00,421237,4,580,E,ML,1.513,30,67,52.0,0.0182,63.7,10,7.0,0.0052,71.6,1,10.0,11.0,0.0138,68.1,1,10.0,34.0,0.0356,60.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:05:00,421238,4,580,E,ML,3.005,30,67,60.0,0.0159,64.6,10,8.0,0.004,71.9,1,10.0,16.0,0.0101,69.6,1,10.0,36.0,0.0335,60.8,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:10:00,421237,4,580,E,ML,1.513,30,67,64.0,0.0203,63.9,10,8.0,0.0054,71.6,1,10.0,18.0,0.0183,67.4,1,10.0,38.0,0.0371,60.6,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:10:00,421238,4,580,E,ML,3.005,30,67,46.0,0.0132,63.8,10,3.0,0.0015,71.9,1,10.0,10.0,0.0064,69.6,1,10.0,33.0,0.0318,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:15:00,421237,4,580,E,ML,1.513,30,67,65.0,0.0227,62.5,10,11.0,0.0078,71.4,1,10.0,16.0,0.0208,64.4,1,10.0,38.0,0.0396,59.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:15:00,421238,4,580,E,ML,3.005,30,67,68.0,0.019,64.4,10,8.0,0.0044,71.7,1,10.0,22.0,0.0155,68.8,1,10.0,38.0,0.037,60.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:20:00,421237,4,580,E,ML,1.513,30,67,58.0,0.0191,62.8,10,8.0,0.0057,71.4,1,10.0,14.0,0.0155,65.6,1,10.0,36.0,0.0362,59.8,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:20:00,421238,4,580,E,ML,3.005,30,67,71.0,0.0186,64.5,10,14.0,0.0076,71.6,1,10.0,19.0,0.0135,68.5,1,10.0,38.0,0.0348,60.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:25:00,421237,4,580,E,ML,1.513,30,67,61.0,0.0224,60.1,10,4.0,0.0022,71.7,1,10.0,19.0,0.0251,61.3,1,10.0,38.0,0.0398,58.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:25:00,421238,4,580,E,ML,3.005,30,67,63.0,0.0164,64.2,10,9.0,0.0043,71.8,1,10.0,17.0,0.0111,68.8,1,10.0,37.0,0.0337,60.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:30:00,421237,4,580,E,ML,1.513,30,67,44.0,0.0147,61.5,10,3.0,0.0022,71.6,1,10.0,9.0,0.0097,64.9,1,10.0,32.0,0.0323,59.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:30:00,421238,4,580,E,ML,3.005,30,67,40.0,0.0112,62.5,10,3.0,0.0013,71.9,1,10.0,6.0,0.0032,69.4,1,10.0,31.0,0.029,60.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:35:00,421237,4,580,E,ML,1.513,30,67,46.0,0.017,61.7,10,3.0,0.0023,71.6,1,10.0,10.0,0.0142,65.2,1,10.0,33.0,0.0345,59.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:35:00,421238,4,580,E,ML,3.005,30,67,48.0,0.0142,63.3,10,4.0,0.0019,71.9,1,10.0,11.0,0.0089,68.9,1,10.0,33.0,0.0318,60.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:40:00,421237,4,580,E,ML,1.513,30,67,47.0,0.0153,62.4,10,2.0,0.0013,71.7,1,10.0,11.0,0.0111,66.9,1,10.0,34.0,0.0334,60.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:40:00,421238,4,580,E,ML,3.005,30,67,47.0,0.0129,62.8,10,2.0,0.001,71.9,1,10.0,11.0,0.0066,69.3,1,10.0,34.0,0.031,60.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
