ts,id,l1_flow,l1_occ,l1_speed,l2_flow,l2_occ,l2_speed,l3_flow,l3_occ,l3_speed,l4_flow,l4_occ,l4_speed,l5_flow,l5_occ,l5_speed,l6_flow,l6_occ,l6_speed,l7_flow,l7_occ,l7_speed,l8_flow,l8_occ,l8_speed
2026-08-03 00:00:09,421258,1.0,0.0039,78.0,3.0,0.02,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:00:09,421260,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:00:39,421258,2.0,0.0078,65.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:00:39,421260,3.0,0.0156,65.0,3.0,0.0317,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:01:09,421258,0.0,0.0,0.0,1.0,0.0078,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:01:09,421260,2.0,0.01,65.0,1.0,0.0056,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:01:39,421258,1.0,0.0039,78.0,1.0,0.0078,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:01:39,421260,0.0,0.0,0.0,3.0,0.0167,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:02:09,421258,0.0,0.0,0.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:02:09,421260,1.0,0.0067,60.0,1.0,0.0067,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:02:39,421258,3.0,0.0117,65.0,3.0,0.0306,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:02:39,421260,1.0,0.0039,78.0,4.0,0.0456,49.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:03:09,421258,1.0,0.005,60.0,1.0,0.0078,44.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:03:09,421260,2.0,0.0139,56.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:03:39,421258,0.0,0.0,0.0,1.0,0.005,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:03:39,421260,2.0,0.0106,78.0,2.0,0.015,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:04:09,421258,1.0,0.0039,78.0,2.0,0.0256,49.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:04:09,421260,0.0,0.0,0.0,2.0,0.0106,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:04:39,421258,1.0,0.0039,78.0,3.0,0.0339,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:04:39,421260,0.0,0.0,0.0,2.0,0.015,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:05:09,421258,0.0,0.0,0.0,4.0,0.0267,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:05:09,421260,1.0,0.0056,60.0,2.0,0.015,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:05:39,421258,2.0,0.0106,56.0,2.0,0.015,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:05:39,421260,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:06:09,421258,0.0,0.0,0.0,2.0,0.0117,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:06:09,421260,1.0,0.0056,78.0,3.0,0.0239,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:06:39,421258,0.0,0.0,0.0,2.0,0.015,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:06:39,421260,0.0,0.0,0.0,1.0,0.0056,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:07:09,421258,0.0,0.0,0.0,3.0,0.0189,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:07:09,421260,0.0,0.0,0.0,2.0,0.0139,42.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:07:39,421258,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:07:39,421260,0.0,0.0,0.0,1.0,0.0067,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:08:09,421258,2.0,0.0089,65.0,2.0,0.015,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:08:09,421260,2.0,0.01,78.0,2.0,0.0139,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:08:39,421258,0.0,0.0,0.0,1.0,0.0067,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:08:39,421260,0.0,0.0,0.0,2.0,0.0139,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:09:09,421258,0.0,0.0,0.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:09:09,421260,2.0,0.0106,71.0,3.0,0.0189,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:09:39,421258,1.0,0.0039,78.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:09:39,421260,1.0,0.0056,78.0,2.0,0.0117,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:10:09,421258,2.0,0.0078,78.0,2.0,0.0306,40.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:10:09,421260,2.0,0.01,71.0,1.0,0.0056,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:10:39,421258,1.0,0.0039,78.0,2.0,0.015,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:10:39,421260,0.0,0.0,0.0,3.0,0.0239,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:11:09,421258,3.0,0.0117,71.0,2.0,0.0139,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:11:09,421260,1.0,0.005,78.0,1.0,0.0056,71.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:11:39,421258,2.0,0.0078,65.0,2.0,0.0106,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:11:39,421260,1.0,0.0056,71.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:12:09,421258,0.0,0.0,0.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:12:09,421260,1.0,0.0056,65.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:12:39,421258,2.0,0.0078,78.0,3.0,0.0217,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:12:39,421260,2.0,0.0106,71.0,2.0,0.0117,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:13:09,421258,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:13:09,421260,2.0,0.0089,60.0,1.0,0.0056,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:13:39,421258,1.0,0.0039,78.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:13:39,421260,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:14:09,421258,3.0,0.0117,78.0,2.0,0.0117,78.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:14:09,421260,0.0,0.0,0.0,1.0,0.005,71.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:14:39,421258,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:14:39,421260,0.0,0.0,0.0,1.0,0.0056,71.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:15:09,421258,0.0,0.0,0.0,3.0,0.0217,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:15:09,421260,2.0,0.0128,65.0,1.0,0.0056,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:15:39,421258,0.0,0.0,0.0,1.0,0.005,78.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:15:39,421260,1.0,0.005,71.0,2.0,0.0128,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:16:09,421258,0.0,0.0,0.0,1.0,0.005,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:16:09,421260,1.0,0.0056,71.0,1.0,0.0056,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:16:39,421258,1.0,0.0039,60.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:16:39,421260,1.0,0.005,71.0,1.0,0.0056,71.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:17:09,421258,1.0,0.005,60.0,1.0,0.0078,52.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:17:09,421260,1.0,0.0056,71.0,2.0,0.0156,56.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:17:39,421258,0.0,0.0,0.0,2.0,0.0117,65.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:17:39,421260,4.0,0.0206,65.0,4.0,0.0489,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:18:09,421258,1.0,0.0039,78.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-08-03 00:18:09,421260,1.0,0.0056,65.0,2.0,0.0128,60.0,,,,,,,,,,,,,,,,,,
